Source (A),Source (B),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
label,text,1,92.84,50.00,1.00,25.77,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,"It's a nice coffee shop in downtown montreal next to the iconic notre dame church. Coffee is a bit strong to my taste, they also have a selection of pastries. 
I like their mezzanine, as well as the pending plants coming down from the ceiling , and the wooden stairs.",49,94.61,58.08,33.04,99.00,16.33,14.29,81.63,51.02,10.20,8.16,4.08,0.00,0.00,0.00,4.08,2.04,14.29,16.33,6.12,4.08,8.16,0.00,10.20,10.20,4.08,0.00,0.00,2.04,8.16,8.16,0.00,0.00,0.00,0.00,6.12,0.00,0.00,2.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.04,0.00,0.00,0.00,6.12,0.00,0.00,0.00,6.12,6.12,2.04,0.00,4.08,0.00,0.00,0.00,6.12,2.04,14.29,2.04,10.20,2.04,0.00,6.12,0.00,2.04,2.04,0.00,2.04,0.00,0.00,0.00,2.04,0.00,14.29,6.12,6.12,0.00,0.00,0.00,0.00,0.00,0.00,2.04,0.00,0.00
2,"PLAY THIS GAME. Oops I mean, play this game if you are into good old fashion vintage Vegas fun + camaraderie. 

The table is located very near the buffet in The MGM Grand.  The rumor is that its the only one left on the strip and one of two in Vegas.  The Sigma Derby table is a place of pure magic, one of the only games that still takes and pays out quarters, each player sits with their own board and bets on which 2 tiny ponies out of five that they think will win. After each race the odds come up and you have 30 seconds to pick your ponies. I have yet to see the 200:1 odds hit, but because of the Derby Magic, its common knowledge that whenever you have the chance you bet the longshot....You don't want to be the only person who didn't! 

How can you not bet the 200:1 when the amazing oldtimer across from you with his oxygen in yells HORSE TIME! With the Derby comes amazing company like this. 

As much money as you can sit and lose playing this game, its ALWAYS worth it, and you STILL have a chance to walk away ahead. One night barely paying attention I won 150 quarters and danced my way back to my room with my tiny bucket of coins.

You end up sitting for hours with like minded Sigma Derby lovers drinking free cocktails and yelling at five tiny plastic horses. What more can you ask for? Find the Sigma Derby the next time your in Vegas, it only takes 1 quarter to get yourself into the game.",277,81.51,86.07,56.77,83.51,19.79,8.66,83.75,51.62,14.08,8.30,2.17,0.00,5.05,0.36,0.72,5.78,7.94,15.16,5.42,4.69,5.78,1.08,13.00,5.42,2.17,2.17,6.50,1.44,5.42,4.33,1.08,0.00,0.72,0.36,10.47,0.00,0.36,0.00,0.36,7.58,1.81,1.08,0.72,2.53,0.72,1.44,1.08,0.36,0.72,0.00,1.08,0.00,0.00,0.36,0.72,8.66,2.89,1.44,2.17,3.25,0.36,1.44,10.83,0.72,17.69,1.44,10.11,6.14,1.08,4.33,0.36,3.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.19,5.42,2.89,0.72,0.00,0.36,0.72,0.00,0.00,0.72,0.00,0.36
2,Great place to gay watch. Total suburban vanilla meat. You know probably drives a Toyota but wants that little lexus. Lawyer not a partner or his bf is a lawyer and he's a manager at some chain sports pub. You know what I'm talking.,44,50.13,81.84,19.82,68.66,8.80,13.64,90.91,43.18,15.91,11.36,2.27,0.00,4.55,4.55,0.00,4.55,9.09,4.55,6.82,2.27,6.82,2.27,15.91,4.55,0.00,2.27,0.00,4.55,2.27,2.27,0.00,0.00,0.00,0.00,15.91,0.00,4.55,0.00,6.82,20.45,4.55,0.00,2.27,6.82,2.27,6.82,2.27,2.27,0.00,0.00,4.55,0.00,0.00,2.27,2.27,13.64,4.55,0.00,6.82,2.27,0.00,0.00,18.18,2.27,9.09,2.27,6.82,0.00,6.82,6.82,0.00,0.00,0.00,0.00,2.27,0.00,2.27,0.00,0.00,0.00,15.91,11.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.55,0.00,0.00
2,"OMG! Ron the Wine guy, and Darren the Cheese guy are superb! We were visiting Arlene who lives down the street and came in everyday for: well - wine, cheese and produce. Beautiful store, great selections, alert and helpful staff. It's a fun place to shop. Also, the Starbucks people were lovely as well....makes me wish I lived in the neighborhood!",61,74.05,87.44,22.13,99.00,10.17,13.11,90.16,45.90,9.84,4.92,3.28,1.64,0.00,0.00,0.00,4.92,9.84,9.84,6.56,4.92,9.84,0.00,16.39,8.20,1.64,1.64,0.00,0.00,13.11,13.11,0.00,0.00,0.00,0.00,13.11,0.00,4.92,0.00,3.28,6.56,0.00,3.28,1.64,0.00,1.64,0.00,1.64,1.64,0.00,0.00,9.84,0.00,3.28,0.00,6.56,11.48,4.92,1.64,3.28,1.64,0.00,6.56,6.56,1.64,14.75,3.28,9.84,1.64,3.28,6.56,1.64,3.28,0.00,0.00,4.92,0.00,1.64,0.00,3.28,0.00,29.51,11.48,8.20,1.64,0.00,0.00,4.92,1.64,0.00,1.64,0.00,0.00
2,"I see a lot of negative reviews on here... I had no problems at all and thoroughly enjoyed our stay.  My fiance and I only stayed here one night because I extended our trip to LV by one day.  We had stayed at the Flamingo and after checking out there made our way to Circus Circus.  The parking lot was a bit crazy, the craziest part being how to get to it from the strip.  We finally parked and made our way to check in, the line wasn't too bad but when we talked to the clerk she told us we'd be staying in the manor motor lodge which is a lot away, (its basically a series of smaller motel buildings).  I wasn't really in the mood to trek all the way over there and have to do that at night too, so she told us it would be 20$ extra to get the Skyrise tower (16th floor) which was actually in the main resort complex.  I agreed to that and we made our way to the room.  The room was clean and adequate, it was a little older but I didn't mind at all.  We had a nice view of the Stratosphere and Downtown, the beds and pillows were VERY comfortable.  After we got settled we headed to the Adventuredome which is nice because you don't have to pay a general admission price you just pay per ride.  They gave us a coupon at checking for BYGOF one ride so my fiance and I went on the Canyon Blaster roller coaster which was really fun and there was no line.  We played some of the chance games as well which were only 2$ a play (very reasonable, coming from someone who lives at the Jersey Shore, and we also got coupons for those games as well).  We then made our way to the buffet which I was very impressed with but will leave a separate review for that.  We played at the main casino with the circus tent above it.  I thought that was very cool and the free trapeze performance they put on was amazing and totally made my night.  That room they have is so cool you have slots, arcade games, mcdonalds, and a show all under one roof.  We went back to the room to sleep and left early in the morning but I would love to stay there again and for one night it was a great experience despite all of the negative reviews I am seeing on here.",424,56.64,78.19,53.08,89.18,23.56,11.32,89.15,59.91,15.33,10.61,3.54,5.19,0.71,0.47,0.71,4.72,8.96,13.44,8.25,7.55,7.55,1.89,15.33,5.19,1.65,2.12,1.65,3.07,5.66,4.48,0.71,0.00,0.00,0.00,10.14,0.47,0.47,0.47,0.47,8.96,0.71,2.12,0.71,1.42,1.42,2.83,1.65,0.94,0.00,0.47,0.71,0.24,0.24,0.00,0.00,9.67,6.60,0.24,0.94,1.42,0.47,8.49,4.48,0.71,15.57,3.30,10.14,3.54,1.42,2.36,1.42,1.65,0.00,0.00,0.94,0.00,0.00,0.47,0.47,0.00,10.38,4.72,2.59,0.00,0.00,0.00,0.00,0.00,0.00,1.18,1.42,0.47
0,I came here recently to get Alaskan Salt that's been sold out everywhere. The lady on the phone said they had 6 bags. When I went they said they had none even though I told them I was advised otherwise. A man showed me an area to check and when I turned around to ask him a question he disappeared. Not cool. Will not be coming back here.,68,10.28,61.58,97.06,53.41,11.33,10.29,94.12,63.24,19.12,17.65,8.82,0.00,0.00,2.94,5.88,1.47,7.35,8.82,10.29,13.24,7.35,4.41,27.94,2.94,1.47,2.94,1.47,1.47,1.47,1.47,0.00,0.00,0.00,0.00,22.06,0.00,0.00,1.47,4.41,8.82,1.47,0.00,0.00,1.47,1.47,5.88,10.29,2.94,4.41,1.47,1.47,0.00,0.00,0.00,1.47,1.47,0.00,0.00,0.00,1.47,0.00,19.12,5.88,2.94,19.12,5.88,8.82,5.88,1.47,0.00,0.00,1.47,0.00,0.00,1.47,0.00,0.00,1.47,0.00,0.00,10.29,8.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.47,0.00,0.00
2,Service was outstanding and as usual the prices are still unbeatable. Spicy basil noodle is by far the best dish on their menu. The crab Rangoon is also a very nice way to start the meal off. For 2 people eating you can get an appetizer and 2 entrees all under 25 bucks. Can't beat that.,56,86.04,63.97,13.15,87.20,11.20,10.71,85.71,48.21,5.36,3.57,0.00,0.00,1.79,0.00,1.79,1.79,10.71,12.50,8.93,5.36,7.14,1.79,12.50,12.50,3.57,0.00,5.36,1.79,3.57,3.57,0.00,0.00,0.00,0.00,5.36,0.00,0.00,0.00,0.00,5.36,0.00,0.00,1.79,0.00,1.79,1.79,1.79,0.00,0.00,0.00,8.93,0.00,0.00,0.00,8.93,8.93,0.00,5.36,5.36,3.57,0.00,1.79,12.50,0.00,14.29,0.00,8.93,5.36,1.79,0.00,0.00,3.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.71,8.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.79,0.00,0.00
0,"One star is the lowest by default, otherwise it'd be 0. 

We stayed here as we were doing a small music video production in Vegas. Upon our departure, I call down to the front desk to ask if they can send up to carts for our luggage. I tell him it's mostly camera hear, and he says he will have to charge me. I ask, ""how much?"" He comes back on the line and says ""hi sir, I lied, we don't charge! I'll send 2 carts up right now."" The 2 carts arrive with a bellman, who stares down our gear and says that's going to be $20 a cart (as if we hadn't paid enough already for our two suites). I tell him what happened, he gets on the phone with the guy at the front desk, essentially tells me I lied and that he never said they were free, I ask him to call his manager who comes, who is just as useless as Kurt, the original bellman. The manager apparently has never heard of customer service, and we end up paying for the cart. 

It's principe and when your business is in the wrong, then the customer is right.",202,39.41,96.62,27.03,8.19,18.36,9.90,88.12,59.41,19.80,15.35,4.95,4.46,0.50,4.46,0.99,4.46,7.43,13.86,9.90,5.94,7.92,1.98,21.78,4.46,2.48,2.97,2.97,0.50,3.47,0.99,2.48,0.00,0.99,0.99,21.78,0.00,0.50,0.00,5.45,4.46,0.00,0.99,0.99,1.98,0.99,1.49,4.95,0.99,3.96,0.00,0.00,0.00,0.00,0.00,0.00,11.39,4.95,0.00,5.45,0.50,0.50,5.45,14.85,1.98,16.34,3.96,9.41,3.96,4.95,0.99,0.00,2.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.31,4.46,6.93,0.00,0.00,0.50,0.50,0.00,1.98,3.47,0.99,0.50
2,I don't know if I've ever felt this way about a burger before. Other then the fact there's no seating (take out only) this is the best burger spot I've ever been to. I really enjoy the fact that the toppings aren't your regular options; the dill havarti cheese and sautéed onions are delicious and the burger that comes with Mac and cheese is to die for. The burgers themselves are freshly made and thick enough to leave you struggling on the first bite. You won't leave hungry. Best burgers. Even talking about them makes me want one.,98,36.00,34.14,52.86,81.07,14.00,13.27,86.73,56.12,15.31,10.20,5.10,0.00,3.06,0.00,2.04,5.10,9.18,10.20,11.22,8.16,6.12,4.08,22.45,4.08,3.06,0.00,2.04,0.00,5.10,4.08,1.02,1.02,0.00,0.00,6.12,0.00,0.00,0.00,0.00,14.29,2.04,2.04,2.04,2.04,4.08,4.08,3.06,0.00,0.00,2.04,7.14,0.00,0.00,0.00,7.14,5.10,0.00,3.06,3.06,3.06,0.00,3.06,17.35,2.04,12.24,3.06,4.08,5.10,0.00,0.00,0.00,0.00,0.00,1.02,0.00,0.00,0.00,0.00,0.00,0.00,16.33,7.14,0.00,0.00,1.02,0.00,0.00,0.00,0.00,6.12,2.04,0.00
